city,lat,lng,country,iso2,admin_name,capital,population,population_proper,,
Skopje,41.9833,21.4333,Macedonia,MK,Skopje,primary,640000,640000,,
Tetovo,42.0103,20.9714,Macedonia,MK,Tetovo,admin,142030,142030,,
Bitola,41.0319,21.3347,Macedonia,MK,Bitola,admin,74550,74550,,
Kumanovo,42.1322,21.7144,Macedonia,MK,Kumanovo,admin,70842,70842,,
Prilep,41.3464,21.5542,Macedonia,MK,Prilep,admin,66246,66246,,
Ohrid,41.1169,20.8019,Macedonia,MK,Ohrid,admin,55749,55749,,
Strumica,41.4375,22.6431,Macedonia,MK,Strumica,admin,45087,45087,,
Veles,41.7153,21.7753,Macedonia,MK,Veles,admin,43716,43716,,
Stip,41.7358,22.1914,Macedonia,MK,Štip,admin,43652,43652,,
Kavadarci,41.4328,22.0117,Macedonia,MK,Kavadarci,admin,38741,38741,,
Gostivar,41.8,20.9167,Macedonia,MK,Gostivar,admin,35847,35847,,
Kocani,41.9167,22.4125,Macedonia,MK,Kočani,admin,28330,28330,,
Kicevo,41.5142,20.9631,Macedonia,MK,Kičevo,admin,27067,27067,,
Struga,41.1775,20.6789,Macedonia,MK,Struga,admin,16559,16559,,
Radovis,41.6381,22.4644,Macedonia,MK,Radoviš,admin,16223,16223,,
Gevgelija,41.1392,22.5025,Macedonia,MK,Gevgelija,admin,15685,15685,,
Debar,41.525,20.5272,Macedonia,MK,Debar,admin,14561,14561,,
Kriva Palanka,42.2017,22.3317,Macedonia,MK,Kriva,Palanka,admin,14558,14558
Sveti Nikole,41.865,21.9425,Macedonia,MK,Sveti,Nikole,admin,13746,13746
Negotino,41.4839,22.0892,Macedonia,MK,Negotino,admin,13284,13284,,
Delcevo,41.9661,22.7747,Macedonia,MK,Delčevo,admin,11500,11500,,
Vinica,41.8828,22.5092,Macedonia,MK,Vinica,admin,10863,10863,,
Probistip,41.9936,22.1767,Macedonia,MK,Probištip,admin,10826,10826,,